model,legacy_rows,dbt_rows,rows_only_in_legacy,rows_only_in_dbt,passed
dim_beneficiary,116352,116352,0,0,True
dim_care_setting,3,3,0,0,True
dim_date,1461,1461,0,0,True
dim_diagnosis,13408,13408,0,0,True
dim_procedure,8991,8991,0,0,True
dim_provider,642257,642257,0,0,True
fact_beneficiary_year,343644,343644,0,0,True
fact_claim_diagnosis,12950443,12950443,0,0,True
fact_claim_header,5587855,5587855,0,0,True
fact_claim_line,13163019,13163019,0,0,True
fact_inpatient_stay,64359,64359,0,0,True
mart_beneficiary_year_summary,343644,343644,0,0,True
mart_condition_summary,2286,2286,0,0,True
mart_demographic_summary,96,96,0,0,True
mart_member_month,4123728,4123728,0,0,True
mart_member_risk,343644,343644,0,0,True
mart_payment_annual,9,9,0,0,True
mart_payment_concentration,3,3,0,0,True
mart_payment_monthly,108,108,0,0,True
mart_provider_performance,1301909,1301909,0,0,True
mart_quality_monitoring,7,7,0,0,True
mart_readmission_index,64359,64359,0,0,True
mart_utilization_annual,9,9,0,0,True
mart_utilization_monthly,108,108,0,0,True
reconciliation_results,41,41,0,0,True
stg_beneficiary_year,343644,343644,0,0,True
stg_carrier_claim,4741335,4741335,0,0,True
stg_carrier_claim_all,4741335,4741335,0,0,True
stg_carrier_line,9388680,9388680,0,0,True
stg_dx_long,12993732,12993732,0,0,True
stg_hcpcs_long,3774339,3774339,0,0,True
stg_ip,66773,66773,0,0,True
stg_ip_all,66773,66773,0,0,True
stg_op,790790,790790,0,0,True
stg_op_all,790790,790790,0,0,True
