check,warehouse,independent_pandas,difference,tolerance,passed
claims_inpatient_2008,27680.0,27680.0,0.0,0.0,True
payment_inpatient_2008,258061880.0,258061880.0,0.0,0.005,True
claims_inpatient_2009,25230.0,25230.0,0.0,0.0,True
payment_inpatient_2009,245440970.0,245440970.0,0.0,0.005,True
claims_inpatient_2010,13569.0,13569.0,0.0,0.0,True
payment_inpatient_2010,132894330.0,132894330.0,0.0,0.005,True
claims_outpatient_2008,282896.0,282896.0,0.0,0.0,True
payment_outpatient_2008,78421870.0,78421870.0,0.0,0.005,True
claims_outpatient_2009,322358.0,322358.0,0.0,0.0,True
payment_outpatient_2009,94151050.0,94151050.0,0.0,0.005,True
claims_outpatient_2010,173971.0,173971.0,0.0,0.0,True
payment_outpatient_2010,51215440.0,51215440.0,0.0,0.005,True
claims_carrier_2008,1715402.0,1715402.0,0.0,0.0,True
payment_carrier_2008,146791920.0,146791920.0,0.0,0.005,True
claims_carrier_2009,1862973.0,1862973.0,0.0,0.0,True
payment_carrier_2009,165209480.0,165209480.0,0.0,0.005,True
claims_carrier_2010,1162960.0,1162960.0,0.0,0.0,True
payment_carrier_2010,102602290.0,102602290.0,0.0,0.005,True
admissions_2008,26262.0,26262.0,0.0,0.0,True
ed_proxy_visits_2008,22494.0,22494.0,0.0,0.0,True
carrier_lines_2008,3357362.0,3357362.0,0.0,0.0,True
member_months_2008,1287561.0,1287561.0,0.0,0.0,True
top_payment_share_2008,0.4846640427812143,0.4846640427812143,0.0,1e-09,True
readmission_eligible_2008,25861.0,25861.0,0.0,0.0,True
readmission_events_2008,3906.0,3906.0,0.0,0.0,True
admissions_2009,24710.0,24710.0,0.0,0.0,True
ed_proxy_visits_2009,26334.0,26334.0,0.0,0.0,True
carrier_lines_2009,3709584.0,3709584.0,0.0,0.0,True
member_months_2009,1276226.0,1276226.0,0.0,0.0,True
top_payment_share_2009,0.3921243696779823,0.3921243696779823,0.0,1e-09,True
readmission_eligible_2009,24763.0,24763.0,0.0,0.0,True
readmission_events_2009,1866.0,1866.0,0.0,0.0,True
admissions_2010,13387.0,13387.0,0.0,0.0,True
ed_proxy_visits_2010,13753.0,13753.0,0.0,0.0,True
carrier_lines_2010,2321734.0,2321734.0,0.0,0.0,True
member_months_2010,1252889.0,1252889.0,0.0,0.0,True
top_payment_share_2010,0.4308730508231848,0.4308730508231848,0.0,1e-09,True
readmission_eligible_2010,13421.0,13421.0,0.0,0.0,True
readmission_events_2010,577.0,577.0,0.0,0.0,True
readmission_eligible_all,64045.0,64045.0,0.0,0.0,True
readmission_events_all,6349.0,6349.0,0.0,0.0,True
mean_length_of_stay_all,5.769542721297721,5.769542721297721,0.0,1e-09,True
