year,condition_name,beneficiaries,denominator_beneficiaries,prevalence
2008,ISCHMCHT,48942,116352,0.42063737623762376
2008,DIABETES,44060,116352,0.37867849284928495
2008,CHF,33155,116352,0.28495427667766776
2008,DEPRESSN,24840,116352,0.21349009900990099
2008,ALZHDMTA,22410,116352,0.19260519801980197
2008,OSTEOPRS,20177,116352,0.17341343509350934
2008,CHRNKIDN,18686,116352,0.16059887238723872
2008,RA_OA,17916,116352,0.15398102310231024
2008,COPD,15743,116352,0.13530493674367436
2008,CNCR,7415,116352,0.0637290291529153
2008,STRKETIA,5223,116352,0.044889645214521455
2009,ISCHMCHT,54601,114538,0.4767064205765772
2009,DIABETES,47709,114538,0.4165342506417084
2009,CHF,39438,114538,0.3443224082837137
2009,DEPRESSN,28085,114538,0.2452024655572823
2009,ALZHDMTA,26404,114538,0.23052611360421868
2009,CHRNKIDN,23718,114538,0.20707538109623008
2009,OSTEOPRS,21908,114538,0.19127276537044474
2009,RA_OA,19994,114538,0.1745621540449458
2009,COPD,17925,114538,0.1564982800467967
2009,CNCR,9336,114538,0.08151006652813914
2009,STRKETIA,6030,114538,0.05264628332955002
2010,ISCHMCHT,42165,112754,0.37395569115064653
2010,DIABETES,32978,112754,0.29247742873867
2010,CHF,29159,112754,0.2586072334462636
2010,DEPRESSN,20042,112754,0.17774979158167337
2010,ALZHDMTA,18689,112754,0.16575021728719158
2010,CHRNKIDN,15619,112754,0.138522801851819
2010,OSTEOPRS,14691,112754,0.1302924951664686
2010,RA_OA,10912,112754,0.0967770544725686
2010,COPD,10105,112754,0.0896198804477003
2010,CNCR,5733,112754,0.050845202830941696
2010,STRKETIA,2951,112754,0.026172020504815794
