condition_type,year,setting,condition_id,condition_name,claims,beneficiaries,payment_amount,denominator_beneficiaries,prevalence
chronic_condition_flag,2008,all,sp_depressn,DEPRESSN,0,24840,,116352,0.21349009900990099
chronic_condition_flag,2008,all,sp_ischmcht,ISCHMCHT,0,48942,,116352,0.42063737623762376
chronic_condition_flag,2008,all,sp_diabetes,DIABETES,0,44060,,116352,0.37867849284928495
chronic_condition_flag,2008,all,sp_osteoprs,OSTEOPRS,0,20177,,116352,0.17341343509350934
chronic_condition_flag,2008,all,sp_ra_oa,RA_OA,0,17916,,116352,0.15398102310231024
chronic_condition_flag,2008,all,sp_alzhdmta,ALZHDMTA,0,22410,,116352,0.19260519801980197
chronic_condition_flag,2008,all,sp_cncr,CNCR,0,7415,,116352,0.0637290291529153
chronic_condition_flag,2008,all,sp_strketia,STRKETIA,0,5223,,116352,0.044889645214521455
chronic_condition_flag,2008,all,sp_chf,CHF,0,33155,,116352,0.28495427667766776
chronic_condition_flag,2008,all,sp_chrnkidn,CHRNKIDN,0,18686,,116352,0.16059887238723872
chronic_condition_flag,2008,all,sp_copd,COPD,0,15743,,116352,0.13530493674367436
primary_diagnosis_ccs,2008,carrier,205,Spondylosis; intervertebral disc disorders; other back problems,64036,34344,6346790.0,,
primary_diagnosis_ccs,2008,carrier,86,Cataract,35194,21668,5770860.0,,
primary_diagnosis_ccs,2008,carrier,101,Coronary atherosclerosis and other heart disease,38841,24764,5061050.0,,
primary_diagnosis_ccs,2008,carrier,98,Essential hypertension,84179,48621,4452680.0,,
primary_diagnosis_ccs,2008,carrier,133,Other lower respiratory disease,48639,29427,3581740.0,,
primary_diagnosis_ccs,2008,carrier,158,Chronic kidney disease,27816,8092,3456400.0,,
primary_diagnosis_ccs,2008,carrier,102,Nonspecific chest pain,32733,22387,3444080.0,,
primary_diagnosis_ccs,2008,carrier,259,Residual codes; unclassified,31378,23300,3245120.0,,
primary_diagnosis_ccs,2008,carrier,106,Cardiac dysrhythmias,52670,24186,3078600.0,,
primary_diagnosis_ccs,2008,carrier,211,Other connective tissue disease,38623,26882,2925730.0,,
primary_diagnosis_ccs,2008,carrier,203,Osteoarthritis,28869,19843,2819250.0,,
primary_diagnosis_ccs,2008,carrier,87,Retinal detachments; defects; vascular occlusion; and retinopathy,15438,12597,2578760.0,,
primary_diagnosis_ccs,2008,carrier,204,Other non-traumatic joint disorders,35644,25300,2556050.0,,
primary_diagnosis_ccs,2008,carrier,23,Other non-epithelial cancer of skin,11995,9747,2357480.0,,
primary_diagnosis_ccs,2008,carrier,49,Diabetes mellitus without complication,46632,28899,2342220.0,,
primary_diagnosis_ccs,2008,carrier,29,Cancer of prostate,12051,6347,2282510.0,,
primary_diagnosis_ccs,2008,carrier,59,Deficiency and other anemia,29862,19590,2267690.0,,
primary_diagnosis_ccs,2008,carrier,47,Other and unspecified benign neoplasm,15946,13152,2257230.0,,
primary_diagnosis_ccs,2008,carrier,95,Other nervous system disorders,20118,15767,2164480.0,,
primary_diagnosis_ccs,2008,carrier,200,Other skin disorders,27356,21086,2067890.0,,
primary_diagnosis_ccs,2008,carrier,251,Abdominal pain,21953,16933,1932340.0,,
primary_diagnosis_ccs,2008,carrier,53,Disorders of lipid metabolism,41800,30071,1843780.0,,
primary_diagnosis_ccs,2008,carrier,24,Cancer of breast,11853,6384,1772970.0,,
primary_diagnosis_ccs,2008,carrier,108,Congestive heart failure; nonhypertensive,19261,12926,1681730.0,,
primary_diagnosis_ccs,2008,carrier,88,Glaucoma,18492,10878,1570450.0,,
primary_diagnosis_ccs,2008,carrier,127,Chronic obstructive pulmonary disease and bronchiectasis,21938,14558,1548830.0,,
primary_diagnosis_ccs,2008,carrier,258,Other screening for suspected conditions (not mental disorders or infectious disease),29619,22812,1532720.0,,
primary_diagnosis_ccs,2008,carrier,212,Other bone disease and musculoskeletal deformities,39320,26072,1480080.0,,
primary_diagnosis_ccs,2008,carrier,155,Other gastrointestinal disorders,16215,13623,1427830.0,,
primary_diagnosis_ccs,2008,carrier,96,Heart valve disorders,11372,9784,1418610.0,,
primary_diagnosis_ccs,2008,carrier,44,Neoplasms of unspecified nature or uncertain behavior,11417,9581,1414670.0,,
