year,sex,race,age_band,beneficiaries,member_months,claims,payment_amount,admissions
2008,Female,Black,65-74,2576,27757.0,37701.0,9251320.0,472.0
2008,Female,Black,75-84,1699,19344.0,29567.0,7490560.0,426.0
2008,Female,Black,85 and over,833,9282.0,14827.0,4456340.0,305.0
2008,Female,Black,Under 65,1827,19843.0,33911.0,8917910.0,473.0
2008,Female,Hispanic,65-74,465,5096.0,6426.0,1326120.0,62.0
2008,Female,Hispanic,75-84,491,5630.0,8145.0,1773490.0,87.0
2008,Female,Hispanic,85 and over,195,2202.0,3632.0,1059540.0,62.0
2008,Female,Hispanic,Under 65,321,3537.0,5235.0,1148760.0,67.0
2008,Female,Other,65-74,1272,13651.0,16167.0,3275670.0,154.0
2008,Female,Other,75-84,715,8094.0,11338.0,2331430.0,97.0
2008,Female,Other,85 and over,327,3644.0,5120.0,1270140.0,75.0
2008,Female,Other,Under 65,335,3541.0,5416.0,1213270.0,69.0
2008,Female,White,65-74,22064,242437.0,356375.0,74700990.0,3660.0
2008,Female,White,75-84,16006,182591.0,318976.0,76510640.0,4099.0
2008,Female,White,85 and over,8672,98929.0,189236.0,48872040.0,2943.0
2008,Female,White,Under 65,6549,72641.0,120764.0,29527470.0,1673.0
2008,Male,Black,65-74,2136,22596.0,27146.0,6590640.0,358.0
2008,Male,Black,75-84,1062,11643.0,16861.0,4612230.0,261.0
2008,Male,Black,85 and over,320,3462.0,5572.0,1436500.0,95.0
2008,Male,Black,Under 65,1890,19933.0,28735.0,7881710.0,446.0
2008,Male,Hispanic,65-74,379,3942.0,4319.0,1135730.0,62.0
2008,Male,Hispanic,75-84,336,3823.0,4705.0,1253370.0,67.0
2008,Male,Hispanic,85 and over,141,1593.0,2035.0,605050.0,41.0
2008,Male,Hispanic,Under 65,401,4389.0,5733.0,1401870.0,75.0
2008,Male,Other,65-74,1114,11670.0,12129.0,2819170.0,132.0
2008,Male,Other,75-84,559,6343.0,8830.0,1836500.0,103.0
2008,Male,Other,85 and over,179,1953.0,2249.0,592200.0,44.0
2008,Male,Other,Under 65,430,4656.0,6639.0,1757730.0,98.0
2008,Male,White,65-74,19541,210386.0,291526.0,64515370.0,3286.0
2008,Male,White,75-84,12014,135529.0,238264.0,59372680.0,3178.0
2008,Male,White,85 and over,4136,46608.0,91753.0,25263380.0,1597.0
2008,Male,White,Under 65,7367,80816.0,116646.0,29075850.0,1695.0
2009,Female,Black,65-74,2392,25610.0,38828.0,8350990.0,389.0
2009,Female,Black,75-84,1752,19611.0,33617.0,8549680.0,450.0
2009,Female,Black,85 and over,955,10411.0,18635.0,4263380.0,204.0
2009,Female,Black,Under 65,1727,19310.0,35248.0,9113950.0,464.0
2009,Female,Hispanic,65-74,442,4858.0,6520.0,1189240.0,59.0
2009,Female,Hispanic,75-84,454,5223.0,8167.0,1697150.0,79.0
2009,Female,Hispanic,85 and over,253,2916.0,4795.0,1049930.0,57.0
2009,Female,Hispanic,Under 65,311,3509.0,5370.0,1117260.0,53.0
2009,Female,Other,65-74,1151,12213.0,16512.0,3918220.0,169.0
2009,Female,Other,75-84,758,8638.0,12830.0,2715700.0,128.0
2009,Female,Other,85 and over,398,4264.0,7004.0,1417590.0,69.0
2009,Female,Other,Under 65,301,3147.0,5344.0,1131240.0,65.0
2009,Female,White,65-74,20072,224074.0,361429.0,79881260.0,3786.0
2009,Female,White,75-84,16275,188002.0,350313.0,79251560.0,3881.0
2009,Female,White,85 and over,9938,114336.0,232812.0,55465970.0,2779.0
2009,Female,White,Under 65,6165,69322.0,125893.0,29649650.0,1514.0
2009,Male,Black,65-74,2019,20836.0,29665.0,6707680.0,346.0
2009,Male,Black,75-84,1117,12079.0,19214.0,4894400.0,251.0
2009,Male,Black,85 and over,409,4249.0,7877.0,1852170.0,121.0
2009,Male,Black,Under 65,1783,18871.0,30165.0,7411850.0,356.0
2009,Male,Hispanic,65-74,367,3590.0,4536.0,1104920.0,52.0
2009,Male,Hispanic,75-84,316,3393.0,4822.0,1021230.0,49.0
2009,Male,Hispanic,85 and over,170,1923.0,2764.0,705240.0,36.0
2009,Male,Hispanic,Under 65,382,4117.0,5990.0,1292710.0,57.0
2009,Male,Other,65-74,1045,10825.0,13264.0,2804200.0,130.0
2009,Male,Other,75-84,590,6485.0,10154.0,2160310.0,112.0
2009,Male,Other,85 and over,222,2401.0,3390.0,649420.0,35.0
2009,Male,Other,Under 65,402,4276.0,6709.0,1700930.0,65.0
2009,Male,White,65-74,17824,193249.0,299347.0,65899380.0,3113.0
2009,Male,White,75-84,12524,141798.0,267128.0,60743190.0,2916.0
2009,Male,White,85 and over,5085,57931.0,119898.0,28084060.0,1410.0
2009,Male,White,Under 65,6939,74759.0,122321.0,29007040.0,1515.0
2010,Female,Black,65-74,2199,23637.0,22380.0,4956790.0,225.0
2010,Female,Black,75-84,1802,20148.0,20770.0,4388600.0,198.0
2010,Female,Black,85 and over,1072,11501.0,12471.0,2759960.0,128.0
2010,Female,Black,Under 65,1631,18195.0,19957.0,4539730.0,220.0
2010,Female,Hispanic,65-74,397,4349.0,3729.0,725550.0,34.0
2010,Female,Hispanic,75-84,456,5178.0,5073.0,1225690.0,64.0
2010,Female,Hispanic,85 and over,292,3386.0,3521.0,861970.0,46.0
2010,Female,Hispanic,Under 65,296,3324.0,2996.0,652930.0,30.0
2010,Female,Other,65-74,1051,11075.0,9544.0,1822500.0,77.0
2010,Female,Other,75-84,790,8995.0,8695.0,1897650.0,87.0
2010,Female,Other,85 and over,441,4772.0,4582.0,987510.0,45.0
2010,Female,Other,Under 65,281,2959.0,3055.0,760710.0,36.0
2010,Female,White,65-74,18026,199934.0,202452.0,40736710.0,1863.0
2010,Female,White,75-84,16581,190252.0,216149.0,45266440.0,2182.0
2010,Female,White,85 and over,11223,128868.0,160518.0,34590010.0,1605.0
2010,Female,White,Under 65,5830,65516.0,74043.0,15783060.0,712.0
2010,Male,Black,65-74,1910,19835.0,17717.0,3671470.0,162.0
2010,Male,Black,75-84,1202,13094.0,12617.0,2891840.0,135.0
2010,Male,Black,85 and over,483,5006.0,5651.0,1314480.0,56.0
2010,Male,Black,Under 65,1663,17685.0,17239.0,4085550.0,195.0
2010,Male,Hispanic,65-74,342,3394.0,2758.0,749860.0,26.0
2010,Male,Hispanic,75-84,306,3272.0,2843.0,615880.0,29.0
2010,Male,Hispanic,85 and over,199,2180.0,1837.0,393560.0,22.0
2010,Male,Hispanic,Under 65,368,3930.0,3528.0,820240.0,41.0
2010,Male,Other,65-74,963,9898.0,7630.0,1947380.0,99.0
2010,Male,Other,75-84,617,6822.0,6331.0,1199910.0,43.0
2010,Male,Other,85 and over,272,2867.0,2678.0,617450.0,35.0
2010,Male,Other,Under 65,378,4042.0,4188.0,1025950.0,46.0
2010,Male,White,65-74,16171,174517.0,170961.0,36468810.0,1730.0
2010,Male,White,75-84,13039,146581.0,169156.0,35423780.0,1657.0
2010,Male,White,85 and over,5960,67421.0,84496.0,18337290.0,834.0
2010,Male,White,Under 65,6513,70256.0,70935.0,15192800.0,725.0
