year_month,year,setting,payment_source_field,claims,payment_amount,negative_payment_claims,zero_payment_claims,payment_per_claim
2008-01,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),65385,5504620.0,0,7131,84.1878106599373
2008-01,2008,inpatient,CLM_PMT_AMT (sum of segments),1533,14466480.0,1,54,9436.712328767124
2008-01,2008,outpatient,CLM_PMT_AMT (sum of segments),10256,3064860.0,37,430,298.8358034321373
2008-02,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),102838,8595400.0,0,11131,83.58194441743325
2008-02,2008,inpatient,CLM_PMT_AMT (sum of segments),1805,16289110.0,0,81,9024.437673130195
2008-02,2008,outpatient,CLM_PMT_AMT (sum of segments),15383,4480900.0,40,629,291.28908535396215
2008-03,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),135921,11396260.0,0,14838,83.84473333774766
2008-03,2008,inpatient,CLM_PMT_AMT (sum of segments),2300,20901530.0,2,92,9087.621739130434
2008-03,2008,outpatient,CLM_PMT_AMT (sum of segments),21051,5619130.0,76,839,266.929362025557
2008-04,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),146516,12258090.0,0,15929,83.6638319364438
2008-04,2008,inpatient,CLM_PMT_AMT (sum of segments),2320,21728870.0,3,82,9365.89224137931
2008-04,2008,outpatient,CLM_PMT_AMT (sum of segments),23164,6427460.0,79,949,277.47625625971335
2008-05,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),154711,13086040.0,0,16632,84.5837723238813
2008-05,2008,inpatient,CLM_PMT_AMT (sum of segments),2585,24332340.0,1,103,9412.89748549323
2008-05,2008,outpatient,CLM_PMT_AMT (sum of segments),24918,6898610.0,77,985,276.8524761216791
2008-06,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),152202,12855600.0,0,16190,84.4640674892577
2008-06,2008,inpatient,CLM_PMT_AMT (sum of segments),2455,23121910.0,1,98,9418.293279022404
2008-06,2008,outpatient,CLM_PMT_AMT (sum of segments),25063,6858190.0,103,1023,273.63803215895945
2008-07,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),159898,13710740.0,0,16923,85.74678857771829
2008-07,2008,inpatient,CLM_PMT_AMT (sum of segments),2467,22959390.0,3,99,9306.6031617349
2008-07,2008,outpatient,CLM_PMT_AMT (sum of segments),26414,7199790.0,84,1039,272.5747709547967
2008-08,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),160504,13869400.0,0,16891,86.41155360614066
2008-08,2008,inpatient,CLM_PMT_AMT (sum of segments),2586,23899310.0,1,99,9241.805877803557
2008-08,2008,outpatient,CLM_PMT_AMT (sum of segments),27203,7393050.0,86,1022,271.77333382347535
2008-09,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),157037,13531740.0,0,16313,86.16911937950928
2008-09,2008,inpatient,CLM_PMT_AMT (sum of segments),2454,22247100.0,3,86,9065.647921760392
2008-09,2008,outpatient,CLM_PMT_AMT (sum of segments),26418,7265810.0,88,988,275.0325535619653
2008-10,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),161664,14078940.0,0,16630,87.0876633016627
2008-10,2008,inpatient,CLM_PMT_AMT (sum of segments),2506,23536580.0,3,93,9392.090981644054
2008-10,2008,outpatient,CLM_PMT_AMT (sum of segments),27482,7780140.0,88,1035,283.0994832981588
2008-11,2008,carrier,LINE_NCH_PMT_AMT_1..13 (sum of lines),156810,13668750.0,0,15982,87.16759135259231
2008-11,2008,inpatient,CLM_PMT_AMT (sum of segments),2341,21955930.0,2,78,9378.868005126014
