year_month,year,setting,members,claims,unique_beneficiaries,admissions,ed_proxy_visits,outpatient_visits,carrier_service_lines,claims_per_1000_members
2008-01,2008,carrier,111058,65385,28267,,,,127405,588.7464207891372
2008-01,2008,inpatient,111058,1533,1371,1454,,,,13.803598119901313
2008-01,2008,outpatient,111058,10256,8181,,796,10256,,92.34814241207297
2008-02,2008,carrier,110398,102838,41621,,,,200157,931.5204985597566
2008-02,2008,inpatient,110398,1805,1594,1680,,,,16.34993387561369
2008-02,2008,outpatient,110398,15383,11941,,1238,15383,,139.34129241471766
2008-03,2008,carrier,109809,135921,52408,,,,264760,1237.7947162800863
2008-03,2008,inpatient,109809,2300,2076,2161,,,,20.94545984391079
2008-03,2008,outpatient,109809,21051,16046,,1707,21051,,191.70559790181133
2008-04,2008,carrier,109187,146516,56501,,,,285042,1341.881359502505
2008-04,2008,inpatient,109187,2320,2082,2196,,,,21.247950763369264
2008-04,2008,outpatient,109187,23164,17534,,1852,23164,,212.14979805288175
2008-05,2008,carrier,108578,154711,58937,,,,302802,1424.8834938937907
2008-05,2008,inpatient,108578,2585,2268,2420,,,,23.80776952973899
2008-05,2008,outpatient,108578,24918,18786,,1924,24918,,229.49400431026544
2008-06,2008,carrier,107859,152202,59323,,,,297309,1411.1200734291992
2008-06,2008,inpatient,107859,2455,2194,2303,,,,22.761197489314753
2008-06,2008,outpatient,107859,25063,19105,,1961,25063,,232.36818438887806
2008-07,2008,carrier,107171,159898,61091,,,,314742,1491.9894374410987
2008-07,2008,inpatient,107171,2467,2233,2342,,,,23.019286933965343
2008-07,2008,outpatient,107171,26414,19968,,2024,26414,,246.4659282828377
2008-08,2008,carrier,106412,160504,61934,,,,313086,1508.3261286321092
2008-08,2008,inpatient,106412,2586,2330,2469,,,,24.30177047701387
2008-08,2008,outpatient,106412,27203,20675,,2151,27203,,255.63846182761344
2008-09,2008,carrier,105655,157037,62000,,,,307921,1486.3186787184704
2008-09,2008,inpatient,105655,2454,2257,2347,,,,23.226539207798968
2008-09,2008,outpatient,105655,26418,20264,,2170,26418,,250.0402252614642
2008-10,2008,carrier,104778,161664,62798,,,,317590,1542.9193151234037
2008-10,2008,inpatient,104778,2506,2290,2397,,,,23.917234533967054
2008-10,2008,outpatient,104778,27482,20935,,2151,27482,,262.28788486132584
2008-11,2008,carrier,103848,156810,62327,,,,306947,1509.9953778599493
2008-11,2008,inpatient,103848,2341,2161,2241,,,,22.54256220630152
2008-11,2008,outpatient,103848,27104,20973,,2165,27104,,260.99684153763195
2008-12,2008,carrier,102808,161916,63155,,,,319601,1574.9358026612715
2008-12,2008,inpatient,102808,2328,2168,2252,,,,22.644152206054002
2008-12,2008,outpatient,102808,28440,21752,,2355,28440,,276.6321687028247
2009-01,2009,carrier,107297,161275,63349,,,,319707,1503.070915309841
2009-01,2009,inpatient,107297,2331,2188,2262,,,,21.724745333047522
2009-01,2009,outpatient,107297,28633,21895,,2283,28633,,266.8574144663877
2009-02,2009,carrier,107105,145547,61029,,,,286995,1358.9188179823539
2009-02,2009,inpatient,107105,2014,1912,1963,,,,18.80397740534989
2009-02,2009,outpatient,107105,25970,20417,,2157,25970,,242.47234022688016
2009-03,2009,carrier,106934,160601,63440,,,,318757,1501.8703125292236
2009-03,2009,inpatient,106934,2216,2121,2172,,,,20.723062823797857
2009-03,2009,outpatient,106934,28509,22038,,2346,28509,,266.6036994781828
2009-04,2009,carrier,106774,155798,63019,,,,309709,1459.1379923951524
2009-04,2009,inpatient,106774,2184,2086,2135,,,,20.454417742146966
2009-04,2009,outpatient,106774,27813,21541,,2283,27813,,260.48476220802814
2009-05,2009,carrier,106609,160508,63642,,,,319934,1505.5764522695083
2009-05,2009,inpatient,106609,2215,2120,2171,,,,20.776857488579765
2009-05,2009,outpatient,106609,28405,22063,,2291,28405,,266.4409196221707
2009-06,2009,carrier,106440,154693,62880,,,,308630,1453.3352123261932
2009-06,2009,inpatient,106440,2117,2030,2073,,,,19.889139421270198
2009-06,2009,outpatient,106440,27392,21435,,2210,27392,,257.3468620819241
2009-07,2009,carrier,106267,159153,63623,,,,317537,1497.6709608815531
2009-07,2009,inpatient,106267,2086,2010,2046,,,,19.629800408405245
2009-07,2009,outpatient,106267,27717,21515,,2324,27717,,260.824150488863
2009-08,2009,carrier,106107,157974,63525,,,,315047,1488.817891373802
2009-08,2009,inpatient,106107,2138,2046,2106,,,,20.149471759638857
2009-08,2009,outpatient,106107,27641,21434,,2232,27641,,260.5011921927865
2009-09,2009,carrier,105940,151797,62562,,,,302746,1432.8582216348877
2009-09,2009,inpatient,105940,2126,2023,2076,,,,20.067962997923352
